id,agent,type,type_string,fixed_component,per_tenant_component,multi_tenant_rate,discount_after,mandatory,includes_vat,notes,url_source,unknown
3095,3650,7,Guarantor Check,180.0,0.0,0.0,0,0,1,,,0
3093,3650,92,Admin Fee,0.0,180.0,0.0,0,1,1,,,0
3094,3650,6,Inventory Report,60.0,0.0,0.0,0,1,1,Minimum,,0
3098,3651,143,Pet Licence,72.0,0.0,0.0,0,0,1,,,0
3099,3651,12,Ongoing Reference,0.0,42.0,0.0,0,0,1,,,0
2845,3097,2,Reference Check,5.0,60.0,0.0,0,1,1,,,0
2846,3097,92,Admin Fee,175.0,0.0,0.0,0,1,1,,,0
814,306,70,Check Out,130.0,0.0,0.0,0,0,0,1 Bed £130 plus VAT 2 Bed £160 plus VAT 3 Bed £190 plus VAT 4 Bed £210 plus VAT,,0
761,647,60,Change of Occupancy,120.0,150.0,0.0,0,0,0,,,0
342,1128,70,Check Out,150.0,0.0,0.0,0,0,1,"120 if unfurnished, 180 if furnished. 150 is average.",,0
1317,796,7,Guarantor Check,0.0,70.0,0.0,0,0,,,,0
612,1161,60,Change of Occupancy,300.0,0.0,0.0,0,0,,,,0
604,1158,11,Tenancy Amendment,25.0,0.0,0.0,0,0,0,,,0
610,1161,39,Check In,72.0,0.0,0.0,0,1,,,,0
785,403,64,Holding Deposit,375.0,0.0,0.0,0,0,1,1 weeks rent,,0
618,1169,7,Guarantor Check,0.0,30.0,0.0,0,0,1,,,0
621,1168,7,Guarantor Check,0.0,50.0,0.0,0,0,0,,,0
587,649,15,Tenancy Agreement,250.0,0.0,0.0,0,1,1,,,0
611,1161,15,Tenancy Agreement,300.0,0.0,0.0,0,1,,,,0
628,663,7,Guarantor Check,45.0,0.0,0.0,0,0,1,Per Guarantor,,0
614,1161,12,Ongoing Reference,24.0,0.0,0.0,0,0,,,,0
590,649,350,Inventory Check In,130.8,0.0,0.0,0,1,1,"""Typical cost""",,0
617,1169,15,Tenancy Agreement,90.0,0.0,0.0,0,1,1,,,0
772,316,15,Tenancy Agreement,222.0,0.0,0.0,0,1,1,,,0
716,633,30,Tenancy Renewal,108.0,0.0,0.0,0,0,1,,,0
802,323,46,Failed Rent Payments,15.0,0.0,0.0,0,0,1,,,0
1396,159,7,Guarantor Check,0.0,75.0,0.0,0,0,1,,,0
631,663,94,Addendum (Contract Changes),120.0,0.0,0.0,0,0,1,,,0
626,663,15,Tenancy Agreement,240.0,0.0,0.0,0,1,1,,,0
803,323,111,Credit Card fee,0.0,0.0,0.0,0,0,1,A charge for taking payment for a company credit or debit card : 2%,,0
774,316,7,Guarantor Check,0.0,60.0,0.0,0,0,1,,,0
1337,936,70,Check Out,90.0,0.0,0.0,0,0,1,,,0
633,663,44,Early Termination,0.0,0.0,0.0,0,0,1,Varies,,0
615,1169,91,Arrangement Fee,180.0,0.0,0.0,0,1,1,,,0
624,1157,30,Tenancy Renewal,150.0,0.0,0.0,0,0,1,,,0
1097,368,70,Check Out,125.0,0.0,0.0,0,0,,125-200 depending on size and location.,,0
589,649,2,Reference Check,0.0,60.0,0.0,0,1,1,,,0
601,1179,2,Reference Check,0.0,100.0,0.0,0,1,,,,0
660,655,2,Reference Check,0.0,60.0,0.0,0,1,1,,,0
609,1161,2,Reference Check,0.0,75.0,0.0,0,1,,,,0
787,403,30,Tenancy Renewal,75.0,0.0,0.0,0,0,1,,,0
775,316,30,Tenancy Renewal,96.0,0.0,0.0,0,0,1,,,0
776,316,70,Check Out,100.0,0.0,0.0,0,0,1,The cost is approximately £100 - £250 (inc. VAT) dependent on the size of the property,,0
630,663,60,Change of Occupancy,240.0,45.0,0.0,0,0,1,,,0
